"canonical_order","group","file","status","sha256","source","sorted_copy"
"1","00-entry-and-series-map","index.html","copied","CAE5F1D2F9B9ECF798A9D3FB1654D0AAFE38F8DAB5E6CCF01CAF74BB17E048A7","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\index.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\00-entry-and-series-map\index.html"
"2","00-entry-and-series-map","1MDA-000-series-map.html","copied","982CDDA9D258C4DC61C5A1E03D309B7E8B6FB44290E5137556E1FFFE9A5CC992","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\1MDA-000-series-map.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\00-entry-and-series-map\1MDA-000-series-map.html"
"3","00-entry-and-series-map","MDA-000-series-map.html","copied","1B12C9E74D153A1A77A38FBC6706D469B383D112DA54BA918E6BF9C98D2917AF","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-000-series-map.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\00-entry-and-series-map\MDA-000-series-map.html"
"4","01-story-thread","MDA-001-story-introduction.html","copied","984AF80588299CAA39A10C1631FE5864254AF12E2F5D40A8A508BDE5940FFDD9","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-001-story-introduction.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-001-story-introduction.html"
"5","01-story-thread","MDA-002-samuel-1900.html","copied","525CC43E9771D8ED9F240E0F530BA8AD622594D2C6952F1CA8CD7F2BCB87F9F4","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-002-samuel-1900.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-002-samuel-1900.html"
"6","01-story-thread","MDA-008-henry-1926.html","copied","7B9662D2474D138AF91442166287E0CCC317267A6DA96A67A6BE89BBDF2482BB","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-008-henry-1926.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-008-henry-1926.html"
"7","01-story-thread","MDA-011-collective-security-1930.html","copied","1435280CA0BD895D33FE647709296C712ACC73BA06870343E1F01E2BE112E6D6","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-011-collective-security-1930.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-011-collective-security-1930.html"
"8","01-story-thread","MDA-012-william-1950.html","copied","2881B23B931F22B2797AC614CAA78926E4C31A43E5A87A97BA81407FD1583C5A","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-012-william-1950.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-012-william-1950.html"
"9","01-story-thread","MDA-016-thomas-1974.html","copied","A02BFF7B1ACC8B8CB066DC87335B6A1B872D0D833353414812BF1A23EE96A9CC","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-016-thomas-1974.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-016-thomas-1974.html"
"10","01-story-thread","MDA-031-jacob-1998.html","copied","E14B1700FBA9010493F63A0878399C1EE2FD624902FF04331D7F5574CA76A7CD","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\LIKELY_PRODUCTION_HTML_FROM_03_MORAL_DECLINE\MDA-031-jacob-1998.html","\\dlowenas\HPWorkstation\Desktop\MDA-BUILD\_MDA_BUILD_OVERLAP_AUDIT_20260526-083540\CANONICAL_SORTED_PRODUCTION_HTML\01-story-thread\MDA-031-jacob-1998.html"
