html_file,image_reference,count
mda/00-entry-and-series-map/MDA-000-series-map.html,../images/mda/PHASE_TRANSITION conv 7.webp,1
mda/00-entry-and-series-map/MDA-000-series-map.html,../images/mda/Signal_Blackout conv 5.webp,1
mda/01-story-thread/MDA-001-story-introduction.html,../images/mda/Phantom_Money_Phantom_Morals conv 12.webp,1
mda/01-story-thread/MDA-001-story-introduction.html,../images/mda/The_Observer_Collapsed conv 6.webp,1
mda/01-story-thread/MDA-002-samuel-1900.html,../images/mda/The_Observer_Collapsed conv 12.webp,1
mda/01-story-thread/MDA-008-henry-1926.html,../images/mda/The_Observer_Collapsed conv 13.webp,1
mda/01-story-thread/MDA-008-henry-1926.html,../images/mda/The_Observer_Collapsed conv 7.webp,1
mda/01-story-thread/MDA-011-collective-security-1930.html,../images/mda/Phantom_Money_Phantom_Morals conv 1.webp,1
mda/01-story-thread/MDA-011-collective-security-1930.html,../images/mda/Phantom_Money_Phantom_Morals conv 11.webp,1
mda/01-story-thread/MDA-012-william-1950.html,../images/mda/PHASE_TRANSITION conv 2.webp,1
mda/01-story-thread/MDA-012-william-1950.html,../images/mda/The_1962_Software_Crash conv 4.webp,1
mda/01-story-thread/MDA-016-thomas-1974.html,../images/mda/PHASE_TRANSITION conv 0.webp,1
mda/01-story-thread/MDA-016-thomas-1974.html,../images/mda/The_1962_Software_Crash conv 0.webp,1
mda/01-story-thread/MDA-031-jacob-1998.html,../images/mda/Phantom_Money_Phantom_Morals conv 6.webp,1
mda/01-story-thread/MDA-031-jacob-1998.html,../images/mda/The_Observer_Collapsed conv 0.webp,1
mda/02-method-and-metrics/MDA-003-measuring-moral-health.html,../images/mda/PHASE_TRANSITION conv 11.webp,1
mda/02-method-and-metrics/MDA-003-measuring-moral-health.html,../images/mda/The_Observer_Collapsed conv 9.webp,1
mda/02-method-and-metrics/MDA-004-facts-framework.html,../images/mda/PHASE_TRANSITION conv 3.webp,1
mda/02-method-and-metrics/MDA-004-facts-framework.html,../images/mda/Phantom_Money_Phantom_Morals conv 0.webp,1
mda/02-method-and-metrics/MDA-006-research-method.html,../images/mda/Phantom_Money_Phantom_Morals conv 7.webp,1
mda/02-method-and-metrics/MDA-006-research-method.html,../images/mda/The_Observer_Collapsed conv 5.webp,1
mda/02-method-and-metrics/MDA-007-nine-domains.html,../images/mda/Phantom_Money_Phantom_Morals conv 8.webp,1
mda/02-method-and-metrics/MDA-007-nine-domains.html,../images/mda/Signal_Blackout conv 10.webp,1
mda/03-evidence-chronology/MDA-005-empirical-evidence.html,../images/mda/PHASE_TRANSITION conv 12.webp,1
mda/03-evidence-chronology/MDA-005-empirical-evidence.html,../images/mda/PHASE_TRANSITION conv 8.webp,1
mda/03-evidence-chronology/MDA-009-the-1900-baseline.html,../images/mda/PHASE_TRANSITION conv 5.webp,1
mda/03-evidence-chronology/MDA-009-the-1900-baseline.html,../images/mda/The_1962_Software_Crash conv 2.webp,1
mda/03-evidence-chronology/MDA-010-pre-modern-baseline.html,../images/mda/PHASE_TRANSITION conv 1.webp,1
mda/03-evidence-chronology/MDA-010-pre-modern-baseline.html,../images/mda/PHASE_TRANSITION conv 4.webp,1
mda/03-evidence-chronology/MDA-013-peak-coherence-1940.html,../images/mda/Signal_Blackout conv 11.webp,1
