html_path,html_title,match_score,match_type,source_md_path,accepted,destination,exists,words,chars,headings,links,html_tags,artifact_hits,replacement_chars,very_long_lines,review_notes
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,100,exact-title,O:\Vault\Master_Equation\_CANONICAL_BUILD\07_PAPERS\GOD_IN_THE_EQUATIONS.md,True,production-vault\source-md\blue\god-in-the-equations.md,True,4584,29569,29,0,0,0,0,0,
convergence-deep\cdt-05-the-24-anti-properties.html,The 24 Anti-Properties | Deep Theory · Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_24_ANTI_PROPERTIES.md,True,production-vault\source-md\convergence-deep\cdt-05-the-24-anti-properties.md,True,3034,20957,9,1,0,0,0,0,
equation\index-kimi.html,Master Equation — Theophysics,100,exact-title,O:\Vault\Master_Equation\_CANONICAL_BUILD\01_CORE_FORMALISM\_ARCHIVE\_MASTER_EQUATION.md,True,production-vault\source-md\equation\index-kimi.md,True,373,2467,13,0,0,0,0,0,
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04-the-day-time-began.html,Article 04: The Day Time Began — Genesis to Quantum,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_DAY_TIME_BEGAN.md,True,production-vault\source-md\genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04-the-day-time-began.md,True,2656,16952,8,13,0,0,0,0,
genesis-to-quantum\gtq-04-the-day-time-began.html,Article 04: The Day Time Began — Genesis to Quantum,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_DAY_TIME_BEGAN.md,True,production-vault\source-md\genesis-to-quantum\gtq-04-the-day-time-began.md,True,2656,16952,8,13,0,0,0,0,
genesis-to-quantum\gtq-08-day-time-began.html,GTQ-08 The Day Time Began — Genesis to Quantum,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_DAY_TIME_BEGAN.md,True,production-vault\source-md\genesis-to-quantum\gtq-08-day-time-began.md,True,2656,16952,8,13,0,0,0,0,
genesis-to-quantum\the-93-year-floor.html,The 93-Year Floor | Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_93_YEAR_FLOOR.md,True,production-vault\source-md\genesis-to-quantum\the-93-year-floor.md,True,2182,13911,9,0,0,0,0,0,
isomorphism\evidence-three-way-isomorphism.html,EVIDENCE — Three-Way Isomorphism (43.6 Bits),100,exact-title,O:\_Theophysics_v3\David\____ THE TRUTH\EVIDENCE — Three-Way Isomorphism (43.6 Bits).md,True,production-vault\source-md\isomorphism\evidence-three-way-isomorphism.md,True,742,5106,6,0,0,0,0,0,
isomorphism\iso-013_grace_operator.html,ISO-013_Grace_Operator,100,exact-title,D:\00_Canonical_PRODUCTION_v1.0\Glossary\Grace Operator.md,True,production-vault\source-md\isomorphism\iso-013_grace_operator.md,True,760,5682,14,0,4,0,0,0,
isomorphism\iso-019_boundary_conditions.html,ISO-019_Boundary_Conditions,100,exact-title,D:\VAULT_USED_SOURCES\AXIOM_FOUNDATIONS\Boundary_Conditions.md,True,production-vault\source-md\isomorphism\iso-019_boundary_conditions.md,True,142,1319,3,0,0,0,0,0,too-short
isomorphism\iso-023_consilience.html,ISO-023_Consilience,100,exact-title,D:\00_Canonical_PRODUCTION_v1.0\Glossary\Consilience.md,True,production-vault\source-md\isomorphism\iso-023_consilience.md,True,676,5143,14,0,4,0,0,0,
mda\90-appendices-and-source-packets\MDA-906-appendix-93-year-floor.html,The 93-Year Floor | Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_93_YEAR_FLOOR.md,True,production-vault\source-md\mda\90-appendices-and-source-packets\MDA-906-appendix-93-year-floor.md,True,2182,13911,9,0,0,0,0,0,
moral-decline\02-method-and-metrics\MDA-038-coherence-metric.html,The Coherence Metric | Moral Decline of America,100,exact-title,D:\VAULT_USED_SOURCES\Cross-Domain Coherence Project\THE COHERENCE METRIC.md,True,production-vault\source-md\moral-decline\02-method-and-metrics\MDA-038-coherence-metric.md,True,2269,17052,24,1,0,0,0,0,
one-page-stories\the-attack-surface.html,The Attack Surface — Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_ATTACK_SURFACE.md,True,production-vault\source-md\one-page-stories\the-attack-surface.md,True,3084,19776,10,0,0,0,0,3,long-lines-note:3
one-page-stories\the-father-as-source-field.html,The Father as Source Field — Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_FATHER_AS_SOURCE_FIELD.md,True,production-vault\source-md\one-page-stories\the-father-as-source-field.md,True,2618,15905,9,3,0,0,0,1,
one-page-stories\the-floor-beneath-the-floor.html,The Floor Beneath the Floor | Theophysics,100,exact-title,D:\VAULT_USED_SOURCES\___THE CONVERGENCE TX 6.6\THE_FLOOR_BENEATH_THE_FLOOR.md,True,production-vault\source-md\one-page-stories\the-floor-beneath-the-floor.md,True,1124,7351,5,0,0,0,0,0,
subdomains\equation\index-kimi.html,Master Equation — Theophysics,100,exact-title,O:\Vault\Master_Equation\_CANONICAL_BUILD\01_CORE_FORMALISM\_ARCHIVE\_MASTER_EQUATION.md,True,production-vault\source-md\subdomains\equation\index-kimi.md,True,373,2467,13,0,0,0,0,0,
