equation_id,latex,lookup_key,source_kind,pattern_name,source_snippet,source_path,lane,article_slug
consciousness-chi-field-action-wrapped-EQ-001,"S_\chi = \int d^4x \sqrt{-g} \left[ \frac{1}{2\kappa_0}(1 + \xi \kappa_0 \chi^2) R - \frac{1}{2} g^{\mu\nu} \partial_\mu \chi \, \partial_\nu \chi - \frac{1}{2} m_\chi^2 \chi^2 - \frac{\lambda}{4} \chi^4 + \mathcal{L}_{\text{matter}} \right]",schiintd4xg12010chi2r12gmunumuchinuchi12mchi2chi24chi4lmatter,page_scan,display_dollars,"$$S_\chi = \int d^4x \sqrt{-g} \left[ \frac{1}{2\kappa_0}(1 + \xi \kappa_0 \chi^2) R - \frac{1}{2} g^{\mu\nu} \partial_\mu \chi \, \partial_\nu \chi - \frac{1}{2} m_\chi^2 \chi^2 -",consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-002,\Box \chi - m_\chi^2 \chi - \lambda \chi^3 + \xi \kappa_0 \chi R = 0,chimchi2chichi30chir0,page_scan,display_dollars,$$\Box \chi - m_\chi^2 \chi - \lambda \chi^3 + \xi \kappa_0 \chi R = 0$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-003,V_{\text{eff}}(\chi) = \frac{1}{2}\left(m_\chi^2 - \xi \kappa_0 R\right)\chi^2 + \frac{\lambda}{4}\chi^4,veffchi12mchi20rchi24chi4,page_scan,display_dollars,$$V_{\text{eff}}(\chi) = \frac{1}{2}\left(m_\chi^2 - \xi \kappa_0 R\right)\chi^2 + \frac{\lambda}{4}\chi^4$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-004,G_{\mu\nu} = \kappa_0 \left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)}\right) - \xi\kappa_0\left(\chi^2 G_{\mu\nu} + g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2)\right),gmunu0tmunumattertmunuchi0chi2gmunugmunuchi2munuchi2,page_scan,display_dollars,$$G_{\mu\nu} = \kappa_0 \left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)}\right) - \xi\kappa_0\left(\chi^2 G_{\mu\nu} + g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2),consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-005,"T_{\mu\nu}^{(\chi)} = \partial_\mu\chi\,\partial_\nu\chi - g_{\mu\nu}\left(\frac{1}{2}\partial_\alpha\chi\,\partial^\alpha\chi + V(\chi)\right)",tmunuchimuchinuchigmunu12vchi,page_scan,display_dollars,"$$T_{\mu\nu}^{(\chi)} = \partial_\mu\chi\,\partial_\nu\chi - g_{\mu\nu}\left(\frac{1}{2}\partial_\alpha\chi\,\partial^\alpha\chi + V(\chi)\right)$$",consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-006,"G_{\mu\nu}(1 + \xi\kappa_0\chi_0^2) = \kappa_0 \, T_{\mu\nu}^{(\text{matter})} + \kappa_0 \, g_{\mu\nu} V(\chi_0)",gmunu10chi020tmunumatter0gmunuvchi0,page_scan,display_dollars,"$$G_{\mu\nu}(1 + \xi\kappa_0\chi_0^2) = \kappa_0 \, T_{\mu\nu}^{(\text{matter})} + \kappa_0 \, g_{\mu\nu} V(\chi_0)$$",consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-007,\Box\delta\chi + m_{\text{eff}}^2 \delta\chi = 0,meff20,page_scan,display_dollars,$$\Box\delta\chi + m_{\text{eff}}^2 \delta\chi = 0$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-008,m_{\text{eff}}^2 = m_\chi^2 + 3\lambda\chi_0^2 - \xi\kappa_0 R,meff2mchi23020r,page_scan,display_dollars,$$m_{\text{eff}}^2 = m_\chi^2 + 3\lambda\chi_0^2 - \xi\kappa_0 R$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-009,\omega^2 = k^2 c^2 + m_{\text{eff}}^2 c^4/\hbar^2,2k2c2meff2c4hbar2,page_scan,display_dollars,$$\omega^2 = k^2 c^2 + m_{\text{eff}}^2 c^4/\hbar^2$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-010,"V(r) = -\frac{G_N m_1 m_2}{r}\left(1 + \alpha \, e^{-r/\lambda_\chi}\right)",vrgnm1m2r1erchi,page_scan,display_dollars,"$$V(r) = -\frac{G_N m_1 m_2}{r}\left(1 + \alpha \, e^{-r/\lambda_\chi}\right)$$",consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-011,\gamma_{\text{PPN}} - 1 \approx -2\xi^2\kappa_0\chi_0^2,gammappn1220chi02,page_scan,display_dollars,$$\gamma_{\text{PPN}} - 1 \approx -2\xi^2\kappa_0\chi_0^2$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-012,\nabla^\mu\left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)} + T_{\mu\nu}^{(\text{non-min})}\right) = 0,mutmunumattertmunuchitmununonmin0,page_scan,display_dollars,$$\nabla^\mu\left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)} + T_{\mu\nu}^{(\text{non-min})}\right) = 0$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-013,\rho_\chi = \frac{1}{2}\dot{\chi}^2 + V(\chi) + 3\xi H\chi\dot{\chi} + \frac{3}{2}\xi H^2\chi^2,rhochi12chi2vchi3hchichi32h2chi2,page_scan,display_dollars,$$\rho_\chi = \frac{1}{2}\dot{\chi}^2 + V(\chi) + 3\xi H\chi\dot{\chi} + \frac{3}{2}\xi H^2\chi^2$$,consciousness-chi-field-action-wrapped.html,(root),consciousness-chi-field-action-wrapped
