lookup_key,count,latex_samples,paths
lnl0enlfloor,5,['L(n) = L_0 \\cdot e^{-n/\\tau} + L_{\\text{floor}}'],"['Templates David/the-93-year-floor.html', '_link-fix-backups/one-page-stories-20260623-220423/one-page-stories/measure-and-judgment/the-93-year-floor.html', 'genesis-to-quantum/the-93-year-floor.html', 'mda/90-appendices-and-source-packets/MDA-906-appendix-93-year-floor.html', 'one-page-stories/measure-and-judgment/the-93-year-floor.html']"
schiintd4xg12010chi2r12gmunumuchinuchi12mchi2chi24chi4lmatter,2,"['S_\\chi = \\int d^4x \\sqrt{-g} \\left[ \\frac{1}{2\\kappa_0}(1 + \\xi \\kappa_0 \\chi^2) R - \\frac{1}{2} g^{\\mu\\nu} \\partial_\\mu \\chi \\, \\partial_\\nu \\chi - \\frac{1}{2} m_\\chi^2 \\chi^2 - \\frac{\\lambda}{4} \\chi^4 + \\mathcal{L}_{\\text{matter}} \\right]']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chimchi2chichi30chir0,2,['\\Box \\chi - m_\\chi^2 \\chi - \\lambda \\chi^3 + \\xi \\kappa_0 \\chi R = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
veffchi12mchi20rchi24chi4,2,['V_{\\text{eff}}(\\chi) = \\frac{1}{2}\\left(m_\\chi^2 - \\xi \\kappa_0 R\\right)\\chi^2 + \\frac{\\lambda}{4}\\chi^4'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gmunu0tmunumattertmunuchi0chi2gmunugmunuchi2munuchi2,2,['G_{\\mu\\nu} = \\kappa_0 \\left(T_{\\mu\\nu}^{(\\text{matter})} + T_{\\mu\\nu}^{(\\chi)}\\right) - \\xi\\kappa_0\\left(\\chi^2 G_{\\mu\\nu} + g_{\\mu\\nu}\\Box(\\chi^2) - \\nabla_\\mu\\nabla_\\nu(\\chi^2)\\right)'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
tmunuchimuchinuchigmunu12vchi,2,"['T_{\\mu\\nu}^{(\\chi)} = \\partial_\\mu\\chi\\,\\partial_\\nu\\chi - g_{\\mu\\nu}\\left(\\frac{1}{2}\\partial_\\alpha\\chi\\,\\partial^\\alpha\\chi + V(\\chi)\\right)']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gmunu10chi020tmunumatter0gmunuvchi0,2,"['G_{\\mu\\nu}(1 + \\xi\\kappa_0\\chi_0^2) = \\kappa_0 \\, T_{\\mu\\nu}^{(\\text{matter})} + \\kappa_0 \\, g_{\\mu\\nu} V(\\chi_0)']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
meff20,2,['\\Box\\delta\\chi + m_{\\text{eff}}^2 \\delta\\chi = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
meff2mchi23020r,2,['m_{\\text{eff}}^2 = m_\\chi^2 + 3\\lambda\\chi_0^2 - \\xi\\kappa_0 R'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
2k2c2meff2c4hbar2,2,['\\omega^2 = k^2 c^2 + m_{\\text{eff}}^2 c^4/\\hbar^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vrgnm1m2r1erchi,2,"['V(r) = -\\frac{G_N m_1 m_2}{r}\\left(1 + \\alpha \\, e^{-r/\\lambda_\\chi}\\right)']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
gammappn1220chi02,2,['\\gamma_{\\text{PPN}} - 1 \\approx -2\\xi^2\\kappa_0\\chi_0^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
mutmunumattertmunuchitmununonmin0,2,['\\nabla^\\mu\\left(T_{\\mu\\nu}^{(\\text{matter})} + T_{\\mu\\nu}^{(\\chi)} + T_{\\mu\\nu}^{(\\text{non-min})}\\right) = 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
rhochi12chi2vchi3hchichi32h2chi2,2,['\\rho_\\chi = \\frac{1}{2}\\dot{\\chi}^2 + V(\\chi) + 3\\xi H\\chi\\dot{\\chi} + \\frac{3}{2}\\xi H^2\\chi^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
pchi12chi2vchichichichi22hchichi2h3h2chi2,2,['p_\\chi = \\frac{1}{2}\\dot{\\chi}^2 - V(\\chi) - \\xi(\\ddot{\\chi}\\chi + \\dot{\\chi}^2) - 2\\xi H\\chi\\dot{\\chi} - \\xi(2\\dot{H} + 3H^2)\\chi^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
tmunugmunuchi2munuchi2chi2rmunu12gmunur,2,['T_{\\mu\\nu}^{(\\xi)} = \\xi\\left[g_{\\mu\\nu}\\Box(\\chi^2) - \\nabla_\\mu\\nabla_\\nu(\\chi^2) + \\chi^2\\left(R_{\\mu\\nu} - \\frac{1}{2}g_{\\mu\\nu}R\\right)\\right]'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
mchih01033,3,['m_\\chi \\sim H_0 \\sim 10^{-33}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'convergence-deep/cdt-02-the-maxwell-moment.html']"
chihbarmchicch01026,2,['\\lambda_\\chi = \\hbar/(m_\\chi c) \\sim c/H_0 \\sim 10^{26}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
vchi12m2chi24chi4,2,['V(\\chi) = \\tfrac{1}{2}m^2\\chi^2 + \\tfrac{\\lambda}{4}\\chi^4'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
chi0ne0,4,['\\langle\\chi\\rangle = \\chi_0 \\neq 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-reality-assessment-wrapped.html', 'consciousness/consciousness-reality-assessment.html']"
m2lt0,2,['m^2 &lt; 0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
2r,2,['\\xi\\chi^2 R'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
08pignc4,2,['\\kappa_0 = 8\\pi G_N / c^4'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
10chi2r20,2,['(1 + \\xi\\kappa_0\\chi^2)R/2\\kappa_0'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
12gmunumuchinuchi,2,['-\\tfrac{1}{2}g^{\\mu\\nu}\\partial_\\mu\\chi\\partial_\\nu\\chi'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
12mchi2chi2,2,['-\\tfrac{1}{2}m_\\chi^2\\chi^2'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
4chi4,2,['-(\\lambda/4)\\chi^4'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
lmatter,2,['\\mathcal{L}_{\\text{matter}}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
mchi,5,['m_\\chi'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html', 'consciousness/consciousness-grace-source-term.html', 'consciousness/consciousness-reality-assessment-wrapped.html', 'consciousness/consciousness-reality-assessment.html']"
h01033,2,['\\sim H_0 \\sim 10^{-33}'],"['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
105,2,"['\\xi \\lesssim 10^5', '|\\xi| \\lesssim 10^5']","['consciousness/consciousness-chi-field-action-wrapped.html', 'consciousness/consciousness-chi-field-action.html']"
