source_path,latex,latex_hash,has_worker_client
Introduction to Theophysics/01-an-introduction-to-theophysics.html,\alpha \mathcal{I}(\Psi),6635ad4fad04333b7aa6bca6f3abe8bd144d165438e72c93a117b6822bc26f71,False
Introduction to Theophysics/01-an-introduction-to-theophysics.html,\beta S(\Psi),8d004f0a6072be66566725ec1086cf0b85dcf27392ebd948a64859db46f513f1,False
Introduction to Theophysics/01-an-introduction-to-theophysics.html,\frac{d\Phi}{dt},9e1fe58d0fe980be6ea2c762e0138bc8446025b89b42a924605e9bd44bb3ce1f,False
Introduction to Theophysics/01-an-introduction-to-theophysics.html,\frac{d\Phi}{dt} = \alpha \mathcal{I}(\Psi) - \beta S(\Psi) + \hat{G}(t),971bbb2e63d220fd3e75cfd116790aa8ad05ba6ddec41aaad644cff110844af4,False
Introduction to Theophysics/01-an-introduction-to-theophysics.html,\hat{G}(t),b6124d768aa881b9c53a70bceda6cb15d90a842230f6883d22eebbcb00324041,False
Introduction to Theophysics/02-the-coherence-metric.html,\Psi,f1920a0117831d5f49b39368ea6d7a8cd6148e248f97ae7a56840b5036e30627,False
Introduction to Theophysics/02-the-coherence-metric.html,"\chi = \int \Psi \times \Phi \times \Lambda \, dV",4bffb7fbc0741b3fbf31862b5bb9f5eae09a8b25bfd5018b99372f4e25975055,False
Introduction to Theophysics/04-the-american-coherence-collapse.html,"70B seized without conviction); plea coercion (97%)</td>
<td>1970s expansion</td>
<td><span class=""matches"">MATCHES — Institutional collapse 1974</span></td>
</tr>
<tr>
<td>6th — Speedy Trial</td>
<td>Right to speedy, public trial by jury</td>
<td>Average federal case: 8+ months pretrial; state backlogs years</td>
<td>1970s–present</td>
<td>Post-threshold symptom</td>
</tr>
<tr>
<td>9th — Unenumerated</td>
<td>Rights not listed are <em>retained</em> by people</td>
<td>Interpreted as: if not listed, doesn't exist</td>
<td>20th century inversion</td>
<td>Semantic thinning enabled this</td>
</tr>
<tr>
<td>10th — Reserved</td>
<td>Powers not delegated reserved to states/people</td>
<td>Federal government regulates nearly everything; states reduced to administrative units</td>
<td>1942–1960s</td>
<td><span class=""matches"">MATCHES — Institutional threshold 1965</span></td>
</tr>
</tbody>
</table>
</div>
</section>
<!-- ═══ SECTION IV ═══ -->
<section class=""section"">
<span class=""section-num"">IV</span>
<h2><span class=""part-label"">Section IV</span>The Integrity Interval: 1962–1965</h2>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0019"" id=""p-0019"">The data reveals a catastrophic window: <strong>1962–1965</strong>.</p>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0020"" id=""p-0020"">In four years, the foundational semantic structure of American civilization was dismantled:</p>
<div class=""integrity-timeline"">
<div class=""timeline-year"">1962</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0021"" id=""p-0021"">The Creator removed from public education <em>(Engel v. Vitale)</em></p>
</div>
<div class=""timeline-year"">1963</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0022"" id=""p-0022"">Scripture removed from public education <em>(Abington v. Schempp)</em></p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0023"" id=""p-0023"">SAT scores begin <strong>permanent decline</strong></p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0024"" id=""p-0024"">President assassinated</p>
</div>
<div class=""timeline-year"">1964</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0025"" id=""p-0025"">Crime rates begin <strong>permanent increase</strong></p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0026"" id=""p-0026"">Equality redefined from <em>dignity</em> to <em>outcome</em></p>
</div>
<div class=""timeline-year"">1965</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0027"" id=""p-0027"">Government becomes <em>provider</em>, not protector</p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0028"" id=""p-0028"">Trust in institutions begins <strong>permanent decline</strong></p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0029"" id=""p-0029"">Mainline church membership begins <strong>permanent decline</strong></p>
</div>
<div class=""timeline-event"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0030"" id=""p-0030"">Demographic transformation initiated without consent</p>
</div>
</div>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0031"" id=""p-0031"">This is not a list of unrelated events. It is a <strong>cascade failure</strong>.</p>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0032"" id=""p-0032"">The Coherence Metric explains the sequence: once the semantic layer collapses, everything downstream becomes violable. The Supreme Court did not <em>cause</em> the removal of God from schools. The Court <em>ratified</em> what the semantic layer had already permitted. By 1962, enough Americans had stopped believing ""endowed by their Creator"" that removing the Creator felt <em>reasonable</em> to a majority of justices.</p>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0033"" id=""p-0033"">The violations then <strong>accelerated</strong> the collapse by removing the last institutional reinforcement of the dying semantic code.</p>
</section>
<!-- ═══ SECTION V ═══ -->
<section class=""section"">
<span class=""section-num"">V</span>
<h2><span class=""part-label"">Section V</span>The Grievance Recurrence</h2>
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0034"" id=""p-0034"">Jefferson enumerated 27 grievances against King George III. These grievances justified revolution.</p>
<div class=""pull-quote"">
<p data-chi-unit-id=""04-the-american-coherence-collapse::p0035"" id=""p-0035"">We have recreated them.</p>
</div>
<div class=""table-wrapper"">
<table class=""grievance-table"">
<thead>
<tr>
<th>Jefferson's Grievance (1776)</th>
<th>Modern Equivalent</th>
<th>Status</th>
</tr>
</thead>
<tbody>
<tr>
<td>""He has refused his Assent to Laws, the most wholesome and necessary for the public good.""</td>
<td>Executive orders bypassing Congress; selective enforcement of immigration law; regulatory overreach substituting for legislation</td>
<td><span class=""status-active"">Active</span></td>
</tr>
<tr>
<td>""He has forbidden his Governors to pass Laws of immediate and pressing importance.""</td>
<td>Federal preemption of state laws; DOJ lawsuits against state legislation; federal funding conditioned on compliance</td>
<td><span class=""status-active"">Active</span></td>
</tr>
<tr>
<td>""He has dissolved Representative Houses repeatedly.""</td>
<td>Gerrymandering; dark money capture of legislatures; party machinery overriding voter intent</td>
<td><span class=""status-active"">Active</span></td>
</tr>
<tr>
<td>""He has obstructed the Administration of Justice.""</td>
<td>Two-tier justice system; plea coercion (97%); civil asset forfeiture without conviction</td>
<td><span class=""status-active"">Active</span></td>
</tr>
<tr>
<td>""He has made Judges dependent on his Will alone.""</td>
<td>Politicized judicial appointments; FISA courts operating in secret; administrative law judges within agencies</td>
<td><span class=""status-active"">Active</span></td>
</tr>
<tr>
<td>""He has erected a multitude of New Offices, and sent hither swarms of Officers to harass our people.""</td>
<td>Federal bureaucracy: 2.9 million civilian employees; 450+ agencies; regulatory compliance costs exceeding",bd544705f405eb123f1cf7098cd440567972d0997013fc6ee78926d78d39c0f8,False
Introduction to Theophysics/08-the-thermodynamics-of-grace.html,\Delta S,3d2f3a6e38be630538d01394c42aa44b961edf2112025081d0cb5ad795c2b0a8,False
Introduction to Theophysics/08-the-thermodynamics-of-grace.html,\Delta S &lt; 0,919771ad8a773097d832d67544e7e8ce124e31c253e88b471a4fb3a74d7e8a8f,False
Introduction to Theophysics/08-the-thermodynamics-of-grace.html,\mathcal{G},199ebfd1ee31bda34ba5e63d7d3930298a92981a19ea2788663caf007bf11df1,False
consciousness/consciousness-chi-field-action-wrapped.html,&gt; 0,be297744fbdead03f04d6b8f0f093f0f8cb557573a0d34a050991333d5f0ff06,True
consciousness/consciousness-chi-field-action-wrapped.html,-1,1bad6b8cf97131fceab8543e81f7757195fbb1d36b376ee994ad1cf17699c464,True
consciousness/consciousness-chi-field-action-wrapped.html,1 + \xi\kappa_0\chi^2 &lt; 0,5e3a1c1122c2fbc86dd1e073ec844c0c49e62a7e2fd8be0bab94616cffe90950,True
consciousness/consciousness-chi-field-action-wrapped.html,H_0,eba0c94b0e6f7476c533d750c4195adbf93c3493999ba667f3a4cf6a864a06e2,True
