source_path,has_worker_client,equation_count,found_count,missing_count,status,missing_sample
genesis-to-quantum/gtq-07a-empirical-testing.html,True,73,3,70,partial_coverage,"\frac{dC}{dt} = O_{eff} \cdot G(t) \cdot (1-C) - S \cdot C | \chi = C | \chi = \iiint(G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C)\, dx\, dy\, dt | R^2 = 0.888 | p &lt; 10^{-10}"
consciousness/consciousness-reality-assessment.html,True,98,41,57,partial_coverage,T_{\mu\nu}^{(\chi)} = \sum_\phi Z_\phi\left(\nabla_\mu\phi\nabla_\nu\phi - \frac{1}{2}g_{\mu\nu}\nabla_\alpha\phi\nabla^\alpha\phi\right) + H_{\mu\alpha}H_\nu{}^\alpha - \frac{1}{4}g_{\mu\nu}H^2 + \alpha_2 f W_\mu W_\nu + \text{(potential terms)} | f\sigma_8(z=0.5) = 0.421 \pm 0.019 | f\sigma_8(z=0.5) = 0.447 \pm 0.012 | \Box = \partial^2/\partial t^2 - \nabla^2 | J_\chi
revolution-of-truth/drv-00-the-argument.html,True,58,1,57,partial_coverage,"\text{If } \mathcal{G}(M) \subseteq \mathcal{F}_{\text{finite}} \Rightarrow \begin{cases} \neg\,\text{Provable}(\text{Con}(M)) &amp; \text{(Gödel)} \\ \neg\,\text{Decidable}(K(x)) &amp; \text{(Chaitin)} \\ \frac{dS}{dt} \geq 0 \text{ for all closed } M &amp; \text{(Second Law)} \end{cases} | \frac{d\chi}{dt} = 0 \implies G_{\text{ext}} \cdot \eta(K) = \lambda S | \frac{d\rho}{dt} = -i[H, \rho] + \mathcal{D}[\rho] | \text{Sin} = -i[\text{Faith}, \text{Soul}] + \text{Grace} | \frac{dK_{\text{inst}}}{dt} = \alpha \cdot E(K) - \beta \cdot T_{\text{ext}}(t)"
forge-proofs/structural-isomorphism.html,False,58,3,55,db_ready_but_page_not_wired,"\chi = \iiint (G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C)\, dx\, dy\, dt | F = G\dfrac{m_1 m_2}{r^2} | v_e = \sqrt{2GM/r} | G_{\mu\nu} + \Lambda g_{\mu\nu} = \dfrac{8\pi G}{c^4} T_{\mu\nu} | F_{\text{sin}} = G_s \dfrac{m_{\text{self}} \cdot m_{\text{world}}}{r_{\text{proximity}}^2}"
isomorphism/structural-isomorphi1sm.html,False,58,3,55,db_ready_but_page_not_wired,"\chi = \iiint (G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C)\, dx\, dy\, dt | F = G\dfrac{m_1 m_2}{r^2} | v_e = \sqrt{2GM/r} | G_{\mu\nu} + \Lambda g_{\mu\nu} = \dfrac{8\pi G}{c^4} T_{\mu\nu} | F_{\text{sin}} = G_s \dfrac{m_{\text{self}} \cdot m_{\text{world}}}{r_{\text{proximity}}^2}"
isomorphism/structural-isomorphism.html,False,58,3,55,db_ready_but_page_not_wired,"\chi = \iiint (G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C)\, dx\, dy\, dt | F = G\dfrac{m_1 m_2}{r^2} | v_e = \sqrt{2GM/r} | G_{\mu\nu} + \Lambda g_{\mu\nu} = \dfrac{8\pi G}{c^4} T_{\mu\nu} | F_{\text{sin}} = G_s \dfrac{m_{\text{self}} \cdot m_{\text{world}}}{r_{\text{proximity}}^2}"
proof-architecture/pa-05-structural-isomorphism.html,True,58,3,55,partial_coverage,"\chi = \iiint (G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C)\, dx\, dy\, dt | F = G\dfrac{m_1 m_2}{r^2} | v_e = \sqrt{2GM/r} | G_{\mu\nu} + \Lambda g_{\mu\nu} = \dfrac{8\pi G}{c^4} T_{\mu\nu} | F_{\text{sin}} = G_s \dfrac{m_{\text{self}} \cdot m_{\text{world}}}{r_{\text{proximity}}^2}"
genesis-to-quantum/gtq-04-the-day-time-began.html,True,57,4,53,partial_coverage,S = k_B \ln \Omega | L(n) = L_0 \cdot e^{\lambda n} | \Omega_{\text{God}} = 1. \quad S_{\text{God}} = 0. | \text{Bit Error Rate} &gt; 0 \implies \text{Channel Capacity} \to 0 \text{ as } t \to \infty | \lim_{t \to \infty} (1 - \epsilon)^t = 0 \quad \text{for any } \epsilon &gt; 0
convergence-deep/cdt-02-the-maxwell-moment.html,False,55,4,51,db_ready_but_page_not_wired,\nabla \cdot \mathbf{E} = \frac{\rho}{\epsilon_0} | \nabla \times \mathbf{E} = -\frac{\partial \mathbf{B}}{\partial t} | \nabla \cdot \mathbf{B} = 0 | \nabla \times \mathbf{B} = \mu_0 \mathbf{J} + \mu_0 \epsilon_0 \frac{\partial \mathbf{E}}{\partial t} | \frac{\partial^2 \mathbf{E}}{\partial t^2} = c^2 \nabla^2 \mathbf{E}
genesis-to-quantum/intro/information-theoretic-form.html,False,52,1,51,db_ready_but_page_not_wired,"\chi = \iiint (G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C) \, dV \, dt | Y \sim p(y) | M_b | Y \to y_i | p_i"
revolution-of-truth/drv-02-the-lock.html,True,48,0,48,worker_client_but_zero_matches,"H(X) = -\sum_i P(x_i) \log_2 P(x_i) | K(x) = \min\{|p| : U(p) = x\} | K(x) \approx H(X) \text{ for random strings} | K(x) \ll H(X) \text{ for structured strings} | \forall F, \exists c : F \nvdash K(x) &gt; |F| + c"
genesis-to-quantum/gtq-03-free-will-two-frames.html,True,44,0,44,worker_client_but_zero_matches,\frac{dC}{dt} = O \cdot G(1-C) - S \cdot C | C^* = \frac{O \cdot G}{O \cdot G + S} | \frac{dC}{dt} = \frac{(1+s)}{2} \cdot G(1-C) - S \cdot C | \frac{dC}{dt} = 0 \cdot G(1-C) - S \cdot C = -S \cdot C | \frac{dC}{dt} \approx \frac{1}{2} G(1-C) - S \cdot C
consciousness/consciousness-scientific-convergence.html,True,42,5,37,partial_coverage,\mathcal{L}<em>\chi \to 0 \quad \Longrightarrow \quad S = S</em>{EH} + S_{\text{Matter}} \quad \Longrightarrow \quad G_{\mu\nu} + \Lambda g_{\mu\nu} = \frac{8\pi G}{c^4} T_{\mu\nu} | \hbar | \mathcal{O}_D | C_{\max} | \mathcal{G}
