lookup_key,count,latex_samples,paths
dkinstdtektextt,2,"['\\frac{dK_{\\text{inst}}}{dt} = \\alpha \\cdot E(K) - \\beta \\cdot T_{\\text{ext}}(t)', '\\frac{dK_{inst}}{dt} = \\alpha \\cdot E(K) - \\beta \\cdot T_{ext}(t)']","['drv-00-the-argument.html', 'drv-06-the-cycle.html']"
chiintgmestkrqfcdxdydt,2,"['\\chi = \\iiint (G \\cdot M \\cdot E \\cdot S \\cdot T \\cdot K \\cdot R \\cdot Q \\cdot F \\cdot C)\\, dx\\, dy\\, dt', '\\chi = \\iiint \\bigl(G \\cdot M \\cdot E \\cdot S \\cdot T \\cdot K \\cdot R \\cdot Q \\cdot F \\cdot C\\bigr)\\,dx\\,dy\\,dt']","['drv-00-the-argument.html', 'drv-04-the-key.html']"
emc2,2,['E = mc^2'],"['drv-00-the-argument.html', 'drv-01-the-architecture.html']"
dsdtge0,2,"['\\frac{dS}{dt} \\geq 0', 'dS/dt \\geq 0']","['drv-00-the-argument.html', 'drv-03-the-cost-of-denial.html']"
kinst,2,"['K_{\\text{inst}}', 'K_{inst}']","['drv-00-the-argument.html', 'drv-06-the-cycle.html']"
ek,2,['E(K)'],"['drv-00-the-argument.html', 'drv-06-the-cycle.html']"
text,2,"['T_{\\text{ext}}', 'T_{ext}']","['drv-00-the-argument.html', 'drv-06-the-cycle.html']"
fcfkxgtfc,2,"['\\forall F, \\exists c : F \\nvdash K(x) &gt; |F| + c']","['drv-01-the-architecture.html', 'drv-02-the-lock.html']"
hxipxi2pxi,2,['H(X) = -\\sum_i P(x_i) \\log_2 P(x_i)'],"['drv-01-the-architecture.html', 'drv-02-the-lock.html']"
ekbt2,2,"['E = k_B T \\ln 2', 'E_{\\min} = k_B T \\ln 2']","['drv-01-the-architecture.html', 'drv-02-the-lock.html']"
kxpupx,2,['K(x) = \\min\\{|p| : U(p) = x\\}'],"['drv-01-the-architecture.html', 'drv-02-the-lock.html']"
kh,2,['K \\ll H'],"['drv-01-the-architecture.html', 'drv-02-the-lock.html']"
s,2,"[""S'"", '\\exp(S)']","['drv-01-the-architecture.html', 'drv-03-the-cost-of-denial.html']"
224,3,"['2 + 2 = 4', '2+2=4']","['drv-01-the-architecture.html', 'drv-02-the-lock.html', 'drv-04-the-key.html']"
itmposition0,2,['I(T_m; \\text{position}) = 0'],"['drv-02-the-lock.html', 'drv-04-the-key.html']"
ddtktm0,2,['\\frac{d}{dt} K(T_m) = 0'],"['drv-02-the-lock.html', 'drv-04-the-key.html']"
225,2,"['2 + 2 = 5', '2+2=5']","['drv-02-the-lock.html', 'drv-03-the-cost-of-denial.html']"
chi,2,"['(-\\chi)', '\\chi']","['drv-03-the-cost-of-denial.html', 'drv-04-the-key.html']"
