equation_id,latex,lookup_key,source_kind,pattern_name,source_snippet,source_path,lane,article_slug
drv-00-the-argument-EQ-001,"\text{If } \mathcal{G}(M) \subseteq \mathcal{F}_{\text{finite}} \Rightarrow \begin{cases} \neg\,\text{Provable}(\text{Con}(M)) &amp; \text{(Gödel)} \\ \neg\,\text{Decidable}(K(x)) &amp; \text{(Chaitin)} \\ \frac{dS}{dt} \geq 0 \text{ for all closed } M &amp; \text{(Second Law)} \end{cases}",ifgmffinitecasesprovableconmampgdeldecidablekxampchaitindsdtge0forallclosedmampsecondlawcases,page_scan,display_brackets,"\[ \text{If } \mathcal{G}(M) \subseteq \mathcal{F}_{\text{finite}} \Rightarrow \begin{cases} \neg\,\text{Provable}(\text{Con}(M)) &amp; \text{(Gödel)} \\ \neg\,\text{Decidable}(K(x",drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-002,\frac{d\chi}{dt} = 0 \implies G_{\text{ext}} \cdot \eta(K) = \lambda S,dchidt0gextks,page_scan,display_brackets,\[ \frac{d\chi}{dt} = 0 \implies G_{\text{ext}} \cdot \eta(K) = \lambda S \],drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-003,"\frac{d\rho}{dt} = -i[H, \rho] + \mathcal{D}[\rho]",drhodtihrhodrho,page_scan,display_brackets,"\[ \frac{d\rho}{dt} = -i[H, \rho] + \mathcal{D}[\rho] \]",drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-004,"\text{Sin} = -i[\text{Faith}, \text{Soul}] + \text{Grace}",sinifaithsoulgrace,page_scan,display_brackets,"\[ \text{Sin} = -i[\text{Faith}, \text{Soul}] + \text{Grace} \]",drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-005,\frac{dK_{\text{inst}}}{dt} = \alpha \cdot E(K) - \beta \cdot T_{\text{ext}}(t),dkinstdtektextt,page_scan,display_brackets,\[ \frac{dK_{\text{inst}}}{dt} = \alpha \cdot E(K) - \beta \cdot T_{\text{ext}}(t) \],drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-006,\frac{d\chi}{dt} = G_{\text{ext}} \cdot \eta(K) - \lambda S(\chi),dchidtgextkschi,page_scan,display_brackets,\[ \frac{d\chi}{dt} = G_{\text{ext}} \cdot \eta(K) - \lambda S(\chi) \],drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-007,"\chi = \iiint \bigl(G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C\bigr)\,dx\,dy\,dt",chiintgmestkrqfcdxdydt,page_scan,display_brackets,"\[ \chi = \iiint \bigl(G \cdot M \cdot E \cdot S \cdot T \cdot K \cdot R \cdot Q \cdot F \cdot C\bigr)\,dx\,dy\,dt \]",drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-008,\mathcal{L}_{\text{LC}} = \chi(t)\left(\frac{d}{dt}(G + M + E + S + T + K + R + Q + F + C)\right)^2 - S \cdot \chi(t),llcchitddtgmestkrqfc2schit,page_scan,display_brackets,\[ \mathcal{L}_{\text{LC}} = \chi(t)\left(\frac{d}{dt}(G + M + E + S + T + K + R + Q + F + C)\right)^2 - S \cdot \chi(t) \],drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-009,G_{\text{ext}},gext,page_scan,inline_brackets,\(G_{\text{ext}}\),drv-00-the-argument.html,(root),drv-00-the-argument
drv-00-the-argument-EQ-010,F = Gm_1m_2/r^2,fgm1m2r2,page_scan,inline_brackets,\(F = Gm_1m_2/r^2\),drv-00-the-argument.html,(root),drv-00-the-argument
